Knife,Skin,RandomPrice
Bayonet,Vanilla,1158
Bayonet,Autotronic,742
Bayonet,Black Laminate,2123
Bayonet,Blue Steel,920
Bayonet,Boreal Forest,556
Bayonet,Bright Water,1403
Bayonet,Case Hardened,496
Bayonet,Crimson Web,2837
Bayonet,Damascus Steel,823
Bayonet,Doppler,2032
Bayonet,Fade,2466
Bayonet,Forest DDPAT,3221
Bayonet,Freehand,4003
Bayonet,Gamma Doppler,756
Bayonet,Lore,2432
Bayonet,Marble Fade,2413
Bayonet,Night,1246
Bayonet,Safari Mesh,674
Bayonet,Scorched,569
Bayonet,Slaughter,566
Bayonet,Stained,1245
Bayonet,Tiger Tooth,844
Bayonet,Ultraviolet,1476
Bayonet,Urban Masked,286
Bowie,Vanilla,572
Bowie,Autotronic,1204
Bowie,Black Laminate,771
Bowie,Blue Steel,1759
Bowie,Boreal Forest,1303
Bowie,Bright Water,2200
Bowie,Case Hardened,725
Bowie,Crimson Web,1089
Bowie,Damascus Steel,2344
Bowie,Doppler,875
Bowie,Fade,340
Bowie,Forest DDPAT,1682
Bowie,Freehand,483
Bowie,Gamma Doppler,1497
Bowie,Lore,512
Bowie,Marble Fade,492
Bowie,Night,356
Bowie,Safari Mesh,1690
Bowie,Scorched,1000
Bowie,Slaughter,562
Bowie,Stained,1141
Bowie,Tiger Tooth,1797
Bowie,Ultraviolet,1841
Bowie,Urban Masked,810
Butterfly,Vanilla,436
Butterfly,Autotronic,1368
Butterfly,Black Laminate,945
Butterfly,Blue Steel,904
Butterfly,Boreal Forest,1161
Butterfly,Bright Water,639
Butterfly,Case Hardened,876
Butterfly,Crimson Web,604
Butterfly,Damascus Steel,667
Butterfly,Doppler,700
Butterfly,Fade,302
Butterfly,Forest DDPAT,442
Butterfly,Freehand,712
Butterfly,Gamma Doppler,2843
Butterfly,Lore,877
Butterfly,Marble Fade,1478
Butterfly,Night,482
Butterfly,Safari Mesh,862
Butterfly,Scorched,2058
Butterfly,Slaughter,859
Butterfly,Stained,1641
Butterfly,Tiger Tooth,560
Butterfly,Ultraviolet,894
Butterfly,Urban Masked,655
Classic,Vanilla,1056
Classic,Blue Steel,1538
Classic,Boreal Forest,981
Classic,Case Hardened,897
Classic,Crimson Web,326
Classic,Fade,922
Classic,Forest DDPAT,1226
Classic,Night Stripe,603
Classic,Safari Mesh,1188
Classic,Scorched,334
Classic,Slaughter,1020
Classic,Stained,588
Classic,Urban Masked,1351
Falchion,Vanilla,733
Falchion,Autotronic,1703
Falchion,Black Laminate,1291
Falchion,Blue Steel,818
Falchion,Boreal Forest,1432
Falchion,Bright Water,342
Falchion,Case Hardened,640
Falchion,Crimson Web,1287
Falchion,Damascus Steel,466
Falchion,Doppler,443
Falchion,Fade,572
Falchion,Forest DDPAT,852
Falchion,Freehand,3186
Falchion,Gamma Doppler,1593
Falchion,Lore,404
Falchion,Marble Fade,552
Falchion,Night,1324
Falchion,Safari Mesh,1206
Falchion,Scorched,882
Falchion,Slaughter,896
Falchion,Stained,1210
Falchion,Tiger Tooth,1739
Falchion,Ultraviolet,927
Falchion,Urban Masked,2496
Flip,Vanilla,2281
Flip,Autotronic,660
Flip,Black Laminate,1681
Flip,Blue Steel,750
Flip,Boreal Forest,775
Flip,Bright Water,1546
Flip,Case Hardened,1393
Flip,Crimson Web,210
Flip,Damascus Steel,942
Flip,Doppler,1482
Flip,Fade,271
Flip,Forest DDPAT,1947
Flip,Freehand,1274
Flip,Gamma Doppler,1912
Flip,Lore,490
Flip,Marble Fade,1408
Flip,Night,1250
Flip,Safari Mesh,756
Flip,Scorched,420
Flip,Slaughter,1151
Flip,Stained,2129
Flip,Tiger Tooth,860
Flip,Ultraviolet,1287
Flip,Urban Masked,283
Gut,Vanilla,1381
Gut,Autotronic,717
Gut,Black Laminate,867
Gut,Blue Steel,515
Gut,Boreal Forest,2939
Gut,Bright Water,635
Gut,Case Hardened,842
Gut,Crimson Web,1346
Gut,Damascus Steel,927
Gut,Doppler,756
Gut,Fade,1443
Gut,Forest DDPAT,413
Gut,Freehand,1228
Gut,Gamma Doppler,3732
Gut,Lore,1257
Gut,Marble Fade,606
Gut,Night,788
Gut,Safari Mesh,354
Gut,Scorched,992
Gut,Slaughter,3075
Gut,Stained,494
Gut,Tiger Tooth,1019
Gut,Ultraviolet,797
Gut,Urban Masked,7146
Huntsman,Vanilla,2829
Huntsman,Autotronic,1577
Huntsman,Black Laminate,2122
Huntsman,Blue Steel,965
Huntsman,Boreal Forest,487
Huntsman,Bright Water,1771
Huntsman,Case Hardened,1197
Huntsman,Crimson Web,543
Huntsman,Damascus Steel,707
Huntsman,Doppler,1049
Huntsman,Fade,405
Huntsman,Forest DDPAT,1254
Huntsman,Freehand,812
Huntsman,Gamma Doppler,896
Huntsman,Lore,421
Huntsman,Marble Fade,1328
Huntsman,Night,538
Huntsman,Safari Mesh,718
Huntsman,Scorched,1127
Huntsman,Slaughter,691
Huntsman,Stained,934
Huntsman,Tiger Tooth,591
Huntsman,Ultraviolet,888
Huntsman,Urban Masked,962
Karambit,Vanilla,1138
Karambit,Autotronic,778
Karambit,Black Laminate,498
Karambit,Blue Steel,474
Karambit,Boreal Forest,643
Karambit,Bright Water,1541
Karambit,Case Hardened,4680
Karambit,Crimson Web,757
Karambit,Damascus Steel,2026
Karambit,Doppler,1888
Karambit,Fade,312
Karambit,Forest DDPAT,1087
Karambit,Freehand,2412
Karambit,Gamma Doppler,418
Karambit,Lore,1334
Karambit,Marble Fade,548
Karambit,Night,2185
Karambit,Safari Mesh,1270
Karambit,Scorched,1692
Karambit,Slaughter,2465
Karambit,Stained,1561
Karambit,Tiger Tooth,889
Karambit,Ultraviolet,1009
Karambit,Urban Masked,2258
Kukri,Vanilla,1459
Kukri,Blue Steel,291
Kukri,Boreal Forest,1079
Kukri,Case Hardened,781
Kukri,Crimson Web,200
Kukri,Fade,1681
Kukri,Forest DDPAT,910
Kukri,Night Stripe,879
Kukri,Safari Mesh,1555
Kukri,Scorched,230
Kukri,Slaughter,253
Kukri,Stained,1331
Kukri,Urban Masked,952
M9,Vanilla,1740
M9,Autotronic,955
M9,Black Laminate,583
M9,Blue Steel,1329
M9,Boreal Forest,1172
M9,Bright Water,1056
M9,Case Hardened,1459
M9,Crimson Web,1331
M9,Damascus Steel,747
M9,Doppler,698
M9,Fade,1167
M9,Forest DDPAT,661
M9,Freehand,942
M9,Gamma Doppler,2806
M9,Lore,780
M9,Marble Fade,665
M9,Night,1049
M9,Safari Mesh,1261
M9,Scorched,2106
M9,Slaughter,2461
M9,Stained,945
M9,Tiger Tooth,2385
M9,Ultraviolet,1738
M9,Urban Masked,306
Navaja,Vanilla,1097
Navaja,Blue Steel,1996
Navaja,Boreal Forest,1471
Navaja,Case Hardened,1043
Navaja,Crimson Web,655
Navaja,Damascus Steel,1375
Navaja,Doppler,683
Navaja,Fade,1216
Navaja,Forest DDPAT,1145
Navaja,Marble Fade,389
Navaja,Night Stripe,1466
Navaja,Safari Mesh,2203
Navaja,Scorched,844
Navaja,Slaughter,5255
Navaja,Stained,608
Navaja,Tiger Tooth,1812
Navaja,Ultraviolet,779
Navaja,Urban Masked,1909
Nomad,Vanilla,2489
Nomad,Blue Steel,993
Nomad,Boreal Forest,434
Nomad,Case Hardened,783
Nomad,Crimson Web,2257
Nomad,Damascus Steel,1274
Nomad,Doppler,916
Nomad,Fade,1687
Nomad,Forest DDPAT,1271
Nomad,Marble Fade,990
Nomad,Night Stripe,790
Nomad,Safari Mesh,3424
Nomad,Scorched,564
Nomad,Slaughter,2049
Nomad,Stained,934
Nomad,Tiger Tooth,816
Nomad,Ultraviolet,1077
Nomad,Urban Masked,604
Paracord,Vanilla,2023
Paracord,Blue Steel,1399
Paracord,Boreal Forest,2014
Paracord,Case Hardened,809
Paracord,Crimson Web,1158
Paracord,Damascus Steel,457
Paracord,Doppler,1061
Paracord,Fade,956
Paracord,Forest DDPAT,1976
Paracord,Marble Fade,1574
Paracord,Night Stripe,243
Paracord,Safari Mesh,1089
Paracord,Scorched,2418
Paracord,Slaughter,333
Paracord,Stained,264
Paracord,Tiger Tooth,1045
Paracord,Ultraviolet,727
Paracord,Urban Masked,987
Shadow Daggers,Vanilla,1062
Shadow Daggers,Autotronic,1124
Shadow Daggers,Black Laminate,934
Shadow Daggers,Blue Steel,346
Shadow Daggers,Boreal Forest,1101
Shadow Daggers,Bright Water,2350
Shadow Daggers,Case Hardened,1685
Shadow Daggers,Crimson Web,2559
Shadow Daggers,Damascus Steel,2666
Shadow Daggers,Doppler,383
Shadow Daggers,Fade,2038
Shadow Daggers,Forest DDPAT,1990
Shadow Daggers,Freehand,1050
Shadow Daggers,Gamma Doppler,1474
Shadow Daggers,Lore,1207
Shadow Daggers,Marble Fade,360
Shadow Daggers,Night,582
Shadow Daggers,Safari Mesh,2830
Shadow Daggers,Scorched,834
Shadow Daggers,Slaughter,2549
Shadow Daggers,Stained,1566
Shadow Daggers,Tiger Tooth,323
Shadow Daggers,Ultraviolet,1992
Shadow Daggers,Urban Masked,711
Skeleton,Vanilla,459
Skeleton,Blue Steel,1386
Skeleton,Boreal Forest,2728
Skeleton,Case Hardened,505
Skeleton,Crimson Web,711
Skeleton,Damascus Steel,532
Skeleton,Doppler,680
Skeleton,Fade,1281
Skeleton,Forest DDPAT,604
Skeleton,Marble Fade,977
Skeleton,Night Stripe,1190
Skeleton,Safari Mesh,585
Skeleton,Scorched,2114
Skeleton,Slaughter,965
Skeleton,Stained,334
Skeleton,Tiger Tooth,1185
Skeleton,Urban Masked,1449
Stiletto,Vanilla,876
Stiletto,Blue Steel,398
Stiletto,Boreal Forest,308
Stiletto,Case Hardened,1418
Stiletto,Crimson Web,1360
Stiletto,Damascus Steel,767
Stiletto,Doppler,339
Stiletto,Fade,663
Stiletto,Forest DDPAT,1254
Stiletto,Marble Fade,849
Stiletto,Night Stripe,1540
Stiletto,Safari Mesh,903
Stiletto,Scorched,595
Stiletto,Slaughter,834
Stiletto,Stained,495
Stiletto,Tiger Tooth,7340
Stiletto,Ultraviolet,1070
Stiletto,Urban Masked,717
Survival,Vanilla,1330
Survival,Blue Steel,481
Survival,Boreal Forest,2312
Survival,Case Hardened,260
Survival,Crimson Web,1687
Survival,Damascus Steel,850
Survival,Doppler,511
Survival,Fade,1269
Survival,Forest DDPAT,768
Survival,Marble Fade,821
Survival,Night Stripe,1026
Survival,Safari Mesh,822
Survival,Scorched,1969
Survival,Slaughter,816
Survival,Stained,714
Survival,Tiger Tooth,1150
Survival,Ultraviolet,586
Survival,Urban Masked,476
Talon,Vanilla,997
Talon,Blue Steel,1291
Talon,Boreal Forest,1331
Talon,Case Hardened,296
Talon,Crimson Web,865
Talon,Damascus Steel,1128
Talon,Doppler,2084
Talon,Fade,563
Talon,Forest DDPAT,389
Talon,Marble Fade,710
Talon,Night Stripe,1564
Talon,Safari Mesh,966
Talon,Scorched,2519
Talon,Slaughter,511
Talon,Stained,1557
Talon,Tiger Tooth,844
Talon,Ultraviolet,800
Talon,Urban Masked,3473
Ursus,Vanilla,3052
Ursus,Blue Steel,1342
Ursus,Boreal Forest,757
Ursus,Case Hardened,508
Ursus,Crimson Web,729
Ursus,Damascus Steel,1611
Ursus,Doppler,413
Ursus,Fade,973
Ursus,Forest DDPAT,2564
Ursus,Marble Fade,1435
Ursus,Night Stripe,1438
Ursus,Safari Mesh,331
Ursus,Scorched,492
Ursus,Slaughter,1587
Ursus,Stained,669
Ursus,Tiger Tooth,491
Ursus,Ultraviolet,2172
Ursus,Urban Masked,985
